experiment,evaluation_type,metric,step,episodes,seed,value,source
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,7000,,1,0.01904778,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,7100,,1,0.01843940,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,7200,,1,0.01921310,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,7300,,1,0.01849352,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,7400,,1,0.01883921,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,7500,,1,0.01874541,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,7600,,1,0.01756007,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,7700,,1,0.01832812,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,7800,,1,0.01834702,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,7900,,1,0.01844048,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,8000,,1,0.01805008,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,8100,,1,0.01833940,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,8200,,1,0.01711592,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,8300,,1,0.01722874,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,8400,,1,0.01731947,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,8500,,1,0.01827925,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,8600,,1,0.01768145,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,8700,,1,0.01765305,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,8800,,1,0.01704655,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,8900,,1,0.01701729,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,9000,,1,0.01971908,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,9100,,1,0.01773441,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,9200,,1,0.01785607,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,9300,,1,0.01657810,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,9400,,1,0.01708400,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,9500,,1,0.01720566,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,9600,,1,0.01699121,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,9700,,1,0.01714550,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,9800,,1,0.01613642,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,9900,,1,0.01573387,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,10000,,1,0.01597742,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,10100,,1,0.01580221,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,10200,,1,0.01656508,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,10300,,1,0.01538057,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,10400,,1,0.01615300,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,10500,,1,0.01539592,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,10600,,1,0.01676583,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,10700,,1,0.01635289,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,10800,,1,0.01577521,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,10900,,1,0.01624692,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,11000,,1,0.01575506,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,11100,,1,0.01554365,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,11200,,1,0.01557122,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,11300,,1,0.01683504,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,11400,,1,0.01662594,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,11500,,1,0.01580885,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,11600,,1,0.01496183,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,11700,,1,0.01445446,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,11800,,1,0.01498531,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,11900,,1,0.01570376,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,12000,,1,0.01591737,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,12100,,1,0.01508718,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,12200,,1,0.01608290,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,12300,,1,0.01595078,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,12400,,1,0.01487572,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,12500,,1,0.01526512,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,12600,,1,0.01632155,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
